id,name,size.bytecode,size.static
359,__lseek,101,976
360,__stdio_seek,18,840
361,writev,115,984
362,__stdio_write,316,1368
363,readv,114,984
364,read,114,984
365,__stdio_read,253,1224
366,__stdio_close,15,840
367,__fdopen,390,1712
368,fopen,102,1112
369,fprintf,56,904
370,__towrite,94,624
371,__overflow,165,1192
372,fputc,69,904
373,fputs,38,944
374,fread,198,1288
375,fseek,179,1176
376,ftell,164,1032
377,__fwritex,234,1368
378,fwrite,278,1384
379,__ofl_lock,9,520
380,__ofl_unlock,3,512
381,__ofl_add,56,952
382,printf,60,912
383,putc,69,904
384,sprintf,56,904
385,sscanf,56,904
386,__stdout_write,60,1008
387,ungetc,105,984
388,strerror,87,904
389,wcrtomb,311,856
390,wctomb,26,848
391,frexp,145,1200
392,vfprintf,398,1568
393,printf_core,9070,18952
394,pop_arg,565,1808
395,pad,159,1168
396,long_double_not_supported,30,856
397,vsnprintf,180,1152
398,sn_write,184,1176
399,vsprintf,21,840
400,__shlim,73,608
401,__shgetc,228,1136
402,__intscan,1636,3464
403,fmod,540,912
404,__floatscan,4829,8760
405,hexfloat,1401,3600
406,scanexp,602,1712
407,mbrtowc,368,752
408,mbsinit,20,544
409,vfscanf,3085,9968
410,long_double_not_supported,29,856
411,vsscanf,89,1024
412,string_read,95,1064
413,atoi,178,648
414,__qsort_r,869,2384
415,sift,442,1968
416,trinkle,904,2896
417,qsort,23,832
418,wrapper_cmp,17,824
419,wcstof,206,1304
420,do_read,186,736
421,memchr,371,800
422,memcmp,75,584
423,memcpy,1000,1824
424,memset,393,1200
425,strcat,25,920
426,strchr,31,864
427,__strchrnul,354,1144
428,strcmp,105,600
429,__stpcpy,374,776
430,strcpy,16,840
431,strdup,48,960
432,strlen,179,648
433,strncmp,145,624
434,__stpncpy,496,1280
435,strncpy,18,840
436,strnlen,28,880
437,strspn,249,768
438,strcspn,242,1104
439,strtok,131,1032
440,wcschr,70,896
441,wcslen,43,544
442,__multi3,116,640
