id,name,size.bytecode,size.static
316,block_residual_write_cavlc_escape,760,1752
317,x264_cabac_mb_skip,127,968
318,x264_macroblock_write_cabac,13546,30296
319,x264_cabac_mb_type_intra,222,1488
320,x264_cabac_mb_ref,223,1160
321,x264_cabac_mb_mvd,248,1328
322,x264_cabac_mb_mvd_cpn,320,1880
323,block_residual_write_cabac,934,2648
324,x264_mb_encode_i4x4,444,1736
325,x264_mb_encode_i8x8,562,1864
326,x264_mb_encode_8x8_chroma,3324,8344
327,x264_mb_optimize_chroma_dc,471,1544
328,x264_predict_lossless_8x8_chroma,288,1464
329,x264_predict_lossless_4x4,176,1064
330,x264_predict_lossless_8x8,164,1040
331,x264_predict_lossless_16x16,171,1040
332,x264_macroblock_encode,7723,19024
333,x264_macroblock_probe_skip,1565,5152
334,x264_noise_reduction_update,1312,2024
335,x264_macroblock_encode_p8x8,2777,7600
336,x264_macroblock_encode_p4x4,411,1648
337,x264_lookahead_init,464,1800
338,x264_lookahead_delete,192,1392
339,x264_lookahead_put_frame,29,864
340,x264_lookahead_is_empty,44,560
341,x264_lookahead_get_frames,470,1936
342,open_file,362,1640
343,get_frame_total,74,1032
344,read_frame,190,1376
345,close_file,43,928
346,x264_sps_init,1371,3032
347,x264_sps_write,14936,16552
348,x264_pps_init,5489,5928
349,x264_pps_write,3997,4800
350,scaling_list_write,1484,2584
351,x264_sei_recovery_point_write,1211,1856
352,x264_sei_write,590,1016
353,x264_sei_version_write,1292,2376
354,x264_sei_buffering_period_write,1165,1880
355,x264_sei_pic_timing_write,1234,2080
356,x264_filler_write,564,976
357,x264_validate_levels,1053,3920
358,open_file,71,992
359,set_param,5,520
360,write_headers,52,920
361,write_frame,22,880
362,close_file,44,848
363,open_file,898,4000
364,get_frame_total,99,1128
365,read_frame,427,1864
366,close_file,43,928
367,open_file,5308,13144
368,try_mkv_timebase_den,309,1688
369,get_frame_total,9,528
370,read_frame,275,1760
371,release_frame,36,888
372,close_file,54,1008
373,open_file,81,1024
374,set_param,234,792
375,write_headers,433,1736
376,write_frame,199,1640
377,close_file,103,1344
378,open_file,138,1280
379,set_param,536,2520
380,write_headers,408,2224
381,write_frame,768,2752
382,close_file,739,2352
383,x264_adaptive_quant_frame,2172,5224
384,x264_macroblock_tree_read,762,2744
385,x264_reference_build_list_optimal,810,2072
386,x264_ratecontrol_init_reconfigurable,1394,4176
387,x264_ratecontrol_new,9929,23008
388,init_pass2,7525,17416
389,x264_strcat_filename,61,1040
390,clip_qscale,1757,4600
391,x264_ratecontrol_summary,267,1904
392,x264_ratecontrol_delete,514,2272
393,x264_ratecontrol_start,1596,4424
394,rate_estimate_qscale,3628,9944
395,x264_ratecontrol_mb,2039,5480
396,predict_row_size_sum,1030,2920
397,x264_ratecontrol_qp,106,960
398,x264_ratecontrol_mb_qp,177,1056
399,x264_ratecontrol_slice_type,796,3120
400,x264_ratecontrol_set_weights,129,1032
401,x264_ratecontrol_end,3397,7960
402,x264_hrd_fullness,342,1656
403,x264_threads_distribute_ratecontrol,1901,3760
404,x264_threads_merge_ratecontrol,851,2584
405,x264_thread_sync_ratecontrol,590,1448
406,x264_me_search_ref,13476,28672
407,refine_subpel,4081,11376
408,x264_me_refine_qpel,93,936
409,x264_me_refine_qpel_refdupe,67,896
410,x264_me_refine_bidir_satd,24,832
411,x264_me_refine_bidir,3986,8976
412,x264_me_refine_bidir_rd,47,896
413,x264_me_refine_qpel_rd,3933,11240
414,dbl2int,6,512
415,x264_put_byte,123,1016
416,flv_append_data,133,1112
417,x264_put_be32,501,1584
418,x264_put_be16,249,1224
419,x264_put_be24,375,1432
420,x264_put_tag,155,1128
421,x264_put_amf_string,395,1488
422,x264_put_amf_double,152,1168
423,flv_create_writer,102,1104
424,rewrite_amf_be24,48,568
425,flv_flush_data,88,960
426,_getopt_internal,4563,8008
427,getopt_long,22,824
428,mk_create_writer,284,1528
429,mk_create_context,122,1016
430,mk_writeHeader,2714,6336
431,mk_write_size,828,2208
432,mk_write_uint,418,1448
433,mk_close_context,366,1576
434,mk_flush_context_id,189,1160
435,mk_write_string,189,1320
436,mk_write_float,392,1440
437,mk_write_bin,295,1400
438,mk_flush_context_data,226,1272
439,mk_write_id,620,1800
440,mk_start_frame,39,896
441,mk_flush_frame,964,2584
442,mk_close_cluster,271,1352
443,mk_set_frame_flags,66,608
444,mk_add_frame_data,297,1392
445,mk_close,645,2336
446,main,7518,19832
447,Help,4570,11384
448,x264_encoder_open_96,3602,9072
449,x264_validate_parameters,5027,10032
450,x264_set_aspect_ratio,362,1456
451,mbcmp_init,942,1600
452,x264_encoder_reconfig,1645,3096
453,x264_encoder_parameters,35,872
454,x264_encoder_headers,984,2664
455,x264_encoder_encapsulate_nals,682,1800
456,x264_nal_start,99,680
457,x264_nal_end,201,1232
458,x264_encoder_encode,8099,16584
459,x264_reference_hierarchy_reset,393,1360
460,x264_reference_check_reorder,174,680
461,x264_slice_header_init,637,1440
462,x264_threaded_slices_write,1340,3224
463,x264_slices_write,15660,20104
464,x264_encoder_frame_end,6291,11696
465,x264_fdec_filter_row,1133,3272
466,x264_encoder_close,7023,14336
467,x264_encoder_delayed_frames,319,864
468,x264_rd_cost_part,7668,12336
469,x264_rd_cost_mb,8689,13152
470,ssd_plane,661,2064
471,block_residual_write_cabac_internal,1576,2328
472,x264_cabac_mb_mvd_cpn,878,1280
473,block_residual_write_cavlc,1092,2008
474,x264_cabac_mb8x8_mvd,2231,5512
475,cavlc_mb8x8_mvd,2254,3768
476,x264_macroblock_luma_write_cavlc,804,2128
477,x264_macroblock_size_cabac,16751,23752
478,cavlc_mb_mvd,287,1160
479,x264_rdo_init,850,3840
480,x264_quant_dc_trellis,181,1064
481,quant_trellis_cabac,3343,5320
482,x264_quant_4x4_trellis,126,1056
483,x264_quant_8x8_trellis,113,984
484,x264_analyse_init_costs,1841,11496
485,x264_analyse_free_costs,150,1368
486,x264_analyse_weight_frame,337,1392
487,x264_macroblock_analyse,22994,48976
488,x264_analyse_update_cache,6850,9808
489,x264_mb_analyse_b_rd,637,2448
490,x264_mb_analyse_inter_b8x8_mixed_ref,2142,5760
491,x264_mb_analyse_inter_b8x8,1859,4848
492,x264_mb_analyse_inter_b16x8,3318,7960
493,x264_mb_analyse_inter_b8x16,3250,7960
494,x264_mb_analyse_intra,3131,6696
495,x264_intra_rd,244,1448
496,x264_intra_rd_refine,4633,10072
497,x264_refine_bidir,683,2376
498,x264_mb_analyse_inter_p8x8_mixed_ref,1616,3848
499,x264_mb_analyse_inter_p8x8,972,2544
500,x264_mb_analyse_inter_p4x4_chroma,1871,6184
501,x264_mb_cache_mv_p8x8,465,1720
502,x264_mb_analyse_inter_p16x8,1423,3976
503,x264_mb_analyse_inter_p8x16,1412,3992
504,x264_mb_analyse_intra_chroma,796,2584
505,x264_mb_analyse_transform_rd,206,1176
506,x264_mb_analyse_init_qp,323,880
507,x264_rd_cost_i8x8_chroma,2605,4408
508,x264_mb_cache_mv_b8x8,901,1520
509,x264_weight_plane_analyse,407,1616
510,x264_weights_analyse,2408,6344
511,x264_slicetype_frame_cost,1085,2736
512,x264_slicetype_mb_cost,4319,9256
513,x264_slicetype_analyse,6327,12152
514,scenecut,471,1768
515,scenecut_internal,482,2024
516,x264_macroblock_tree_propagate,1996,2960
517,x264_macroblock_tree_finish,326,1200
518,x264_slicetype_frame_cost_recalculate,547,1512
519,x264_slicetype_decide,2668,5128
520,x264_rc_analyse_slice,830,2488
521,x264_cabac_mb_ref,312,784
522,malloc,12,808
523,dlmalloc,6541,9304
524,free,12,808
525,dlfree,1698,2224
526,calloc,109,984
527,realloc,1131,2192
528,dispose_chunk,1618,2120
529,_Exit,13,792
530,__main_void,214,1400
531,__wasi_args_get,18,816
532,__wasi_args_sizes_get,18,824
533,__wasi_environ_get,18,824
534,__wasi_environ_sizes_get,18,824
535,__wasi_fd_close,16,824
536,__wasi_fd_fdstat_get,18,824
537,__wasi_fd_fdstat_set_flags,18,824
538,__wasi_fd_prestat_get,18,824
539,__wasi_fd_prestat_dir_name,20,824
540,__wasi_fd_read,22,824
541,__wasi_fd_seek,22,824
542,__wasi_fd_write,22,824
543,__wasi_path_open,38,992
544,__wasi_path_rename,38,1016
545,__wasi_proc_exit,13,792
546,__wasilibc_nocwd_openat_nomode,282,1240
547,close,34,864
548,__wasilibc_nocwd_renameat,41,864
549,__wasilibc_open_nomode,163,1024
550,rename,258,1136
551,abort,6,504
552,internal_register_preopened_fd,280,1320
553,__wasilibc_find_relpath,95,904
554,__wasilibc_find_abspath,313,1408
555,__wasilibc_populate_preopens,182,1296
556,sbrk,79,888
557,__wasilibc_ensure_environ,27,824
558,__wasilibc_initialize_environ,194,1360
559,getenv,154,1120
560,__assert_fail,78,904
561,dummy,3,512
562,__wasm_call_dtors,15,864
563,exit,24,896
564,__math_xflow,14,760
565,__math_uflow,20,832
566,__math_oflow,21,832
567,exp,361,1440
568,specialcase,161,1088
569,exp2,367,1464
570,specialcase,155,1016
571,fmod,539,912
572,__math_divzero,24,752
573,__math_invalid,14,528
574,log,620,1768
575,log10,496,2168
576,log2,647,1760
577,__math_divzerof,16,744
578,__math_invalidf,14,528
579,log2f,252,1432
580,pow,1183,2984
581,checkint,87,600
582,specialcase,203,1208
583,__math_xflowf,14,752
584,__math_oflowf,16,824
585,__math_uflowf,17,824
586,powf,775,2384
587,round,184,1312
588,dummy,4,512
589,fclose,154,1288
590,fflush,362,1648
591,__stdio_exit,389,1712
592,__toread,134,1056
593,__uflow,85,1032
594,fgetc,48,864
595,fgets,303,1384
596,__fmodeflags,103,1032
597,fcntl,275,1504
598,__isatty,103,968
599,__lseek,101,976
600,__stdio_seek,18,840
601,writev,115,984
602,__stdio_write,316,1368
603,readv,114,984
604,read,114,984
605,__stdio_read,253,1224
606,__stdio_close,15,840
607,__fdopen,390,1712
608,fopen,102,1112
609,fprintf,56,904
610,__towrite,94,624
611,__overflow,165,1192
612,fputc,70,904
613,fread,197,1288
614,fscanf,57,904
615,fseek,179,1176
616,ftell,164,1032
617,__fwritex,234,1368
618,fwrite,278,1384
619,__ofl_lock,9,520
620,__ofl_unlock,3,512
621,__ofl_add,56,952
622,printf,60,912
623,putchar,89,888
624,fputs,37,944
625,puts,109,984
626,snprintf,58,912
627,sprintf,56,904
628,sscanf,56,904
629,__stdout_write,60,1008
630,dummy,5,512
631,__lctrans,13,808
632,strerror,87,904
633,wcrtomb,311,856
634,wctomb,26,848
635,frexp,145,1200
636,vfprintf,398,1568
637,printf_core,9070,18952
638,pop_arg,565,1808
639,pad,159,1168
640,long_double_not_supported,29,856
641,__shlim,73,608
642,__shgetc,228,1136
643,__intscan,1636,3464
