dataset,workload,run,e2e,waiting,dynamic.code.size,static.code.size,cpu
oracle,mp4-slowdown-2x,2,185847968646,236899428,1531032,1273560,187539276378
oracle,mp4-slowdown-2x,3,187460907370,68766203,1531032,1273560,188536539394
oracle,mp4-mono-audio,0,99320972216,50715442,1499456,1268344,100292761888
oracle,mp4-mono-audio,1,99802226742,50944099,1499456,1268344,100774552441
oracle,mp4-mono-audio,2,100655702739,50290412,1499456,1268344,101623960575
oracle,mp4-mono-audio,3,100377243607,51011547,1499456,1268344,101347732277
oracle,mp4-remove-audio,0,95818610110,63173825,1418184,1173096,97036362670
oracle,mp4-remove-audio,1,96178768060,97386388,1418184,1173096,97426684482
oracle,mp4-remove-audio,2,95976055279,63177150,1418184,1173096,97192447593
oracle,mp4-remove-audio,3,97372462872,63115434,1418184,1173096,98584367902
oracle,mp4-to-flac,0,526612551,0,781776,781776,526612551
oracle,mp4-to-flac,1,526263878,0,781776,781776,526263878
oracle,mp4-to-flac,2,536324970,0,781776,781776,536324970
oracle,mp4-to-flac,3,533951461,0,781776,781776,533951461
oracle,mp4-gaussian-blur,0,426299886354,53975826,1541464,1278688,427433450364
oracle,mp4-gaussian-blur,1,426010482960,53826925,1541464,1278688,427144172190
oracle,mp4-gaussian-blur,2,427221320260,54119232,1541464,1278688,428355098867
oracle,mp4-gaussian-blur,3,425198559688,54096434,1541464,1278688,426334146727
leave_one_out,mov-to-mp4,0,103388567944,440200525,1617856,1266840,104827859893
leave_one_out,mov-to-mp4,1,103574605955,438937517,1617856,1266840,105011445242
leave_one_out,mov-to-mp4,2,103552546842,439631234,1617856,1266840,104991567582
leave_one_out,mov-to-mp4,3,103900404151,439872155,1617856,1266840,105342166766
leave_one_out,mp4-to-mkv,0,98288285673,1814122662,1806584,1243488,99840181479
leave_one_out,mp4-to-mkv,1,98552854917,1816103798,1806584,1243488,100108987511
leave_one_out,mp4-to-mkv,2,98642707268,1817538390,1806584,1243488,100201416930
leave_one_out,mp4-to-mkv,3,98380475841,1821764571,1806584,1243488,99937414670
leave_one_out,mp4-to-wav,0,1870120786,1201835343,969608,743928,3729093324
leave_one_out,mp4-to-wav,1,1843907933,1173331600,969608,743928,3685003791
leave_one_out,mp4-to-wav,2,1840252461,1170322095,969608,743928,3677377409
leave_one_out,mp4-to-wav,3,1838943149,1175449500,969608,743928,3667860346
leave_one_out,mp4-resize-720p,0,32067553259,532424654,1651080,1326592,33143714568
leave_one_out,mp4-resize-720p,1,31170036779,530039735,1651080,1326592,32245653638
leave_one_out,mp4-resize-720p,2,31120070454,532814279,1651080,1326592,32196488654
leave_one_out,mp4-resize-720p,3,31108548568,533206456,1651080,1326592,32181912725
leave_one_out,jpegs-to-mp4,0,2970481968,2707383211,1199728,758288,5919927747
leave_one_out,jpegs-to-mp4,1,2961633550,2700339008,1199728,758288,5902308600
leave_one_out,jpegs-to-mp4,2,2964569756,2693518058,1199728,758288,5907352318
leave_one_out,jpegs-to-mp4,3,2955823961,2691838936,1199728,758288,5890201063
leave_one_out,mp4-trim,0,2250663769,1237241012,938320,700768,4491963752
leave_one_out,mp4-trim,1,2067470515,1463896076,938320,700768,4193636543
leave_one_out,mp4-trim,2,2030526278,1415359905,938320,700768,4118074308
leave_one_out,mp4-trim,3,2377077908,1719222329,938320,700768,4805942544
leave_one_out,mp4-flip-vertical,0,113764041838,88140652,1553936,1269560,115245456780
leave_one_out,mp4-flip-vertical,1,115419165860,78747336,1553936,1269560,117156402042
leave_one_out,mp4-flip-vertical,2,113682918073,87746854,1553936,1269560,115194354895
leave_one_out,mp4-flip-vertical,3,114372337379,87882749,1553936,1269560,115855560583
leave_one_out,mp4s-concat,0,8557422796,1237743477,985880,729424,13222588023
leave_one_out,mp4s-concat,1,8491851396,1239815277,985880,729424,13141482323
leave_one_out,mp4s-concat,2,8435940767,1239492054,985880,729424,13093616042
leave_one_out,mp4s-concat,3,8505373349,1226083130,985880,729424,13180996034
leave_one_out,mp4-stream-copy,0,1970909517,1341976303,918472,697872,4037046629
leave_one_out,mp4-stream-copy,1,1980723630,1333362918,918472,697872,4043980695
leave_one_out,mp4-stream-copy,2,1979248224,1345137340,918472,697872,4052646262
leave_one_out,mp4-stream-copy,3,1973857260,1343890562,918472,697872,4045188709
leave_one_out,mp4-to-pngs,0,10019708909,1331800322,1170448,837232,13530396058
leave_one_out,mp4-to-pngs,1,9984425205,1299166415,1170448,837232,13502584460
leave_one_out,mp4-to-pngs,2,9958519538,1310813359,1170448,837232,13499573074
leave_one_out,mp4-to-pngs,3,10265399865,1353354621,1170448,837232,13812780796
leave_one_out,mp4-speedup-2x,0,61219431105,81270761,1557968,1273608,62695595540
leave_one_out,mp4-speedup-2x,1,60897815878,67026652,1557968,1273608,62379848482
leave_one_out,mp4-speedup-2x,2,61040700764,82243717,1557968,1273608,62515596490
leave_one_out,mp4-speedup-2x,3,63297871780,80568683,1557968,1273608,64770125270
leave_one_out,mp4-slowdown-2x,0,211786632906,67622919,1509232,1273552,212883277677
leave_one_out,mp4-slowdown-2x,1,212048405658,67607979,1509232,1273552,213146409519
leave_one_out,mp4-slowdown-2x,2,210745253679,67709636,1509232,1273552,211844202860
leave_one_out,mp4-slowdown-2x,3,213006015687,68495116,1509232,1273552,214105933977
leave_one_out,mp4-mono-audio,0,100550781388,76180155,1548776,1268352,102040836170
leave_one_out,mp4-mono-audio,1,100278740390,76309888,1548776,1268352,101767695429
leave_one_out,mp4-mono-audio,2,101284511521,92792884,1548776,1268352,102806163307
leave_one_out,mp4-mono-audio,3,100484519538,67452256,1548776,1268352,101976730905
leave_one_out,mp4-remove-audio,0,109399765309,144559811,1453344,1173080,111145229740
leave_one_out,mp4-remove-audio,1,110438022443,102018382,1453344,1173080,112186249746
leave_one_out,mp4-remove-audio,2,123332555447,145355660,1453344,1173080,125080370286
leave_one_out,mp4-remove-audio,3,110645035561,105787872,1453344,1173080,112397694863
leave_one_out,mp4-to-flac,0,2417870367,1668746109,1082904,782048,4823461090
leave_one_out,mp4-to-flac,1,2428097519,1666140091,1082904,782048,4867883419
leave_one_out,mp4-to-flac,2,2395461388,1412328389,1082904,782048,4779098626
leave_one_out,mp4-to-flac,3,2413869128,1669646387,1082904,782048,4816140501
leave_one_out,mp4-gaussian-blur,0,131053115905,198425732,1573504,1278696,132454304851
leave_one_out,mp4-gaussian-blur,1,136906916014,196777212,1573504,1278696,138305382839
leave_one_out,mp4-gaussian-blur,2,130704856886,201917837,1573504,1278696,132106389540
leave_one_out,mp4-gaussian-blur,3,130748794955,200929283,1573504,1278696,132149970741
