compilation_strategy;global;local;misses;compilations;evictions;e2e;exec;waiting;gini
jit;2250;1250;23748;2461;211;116590620592;55471493740;61119126852;None
predictive.lstm-50;2250;1000;18878;2460;210;108435526561;53889594862;54545931698;None
jit;2250;1000;23882;2466;216;116702310717;55480922567;61221388150;None
predictive.lstm-50;2250;750;18054;2460;210;120519506274;55442995714;65076510559;None
jit;2250;750;23790;2474;224;117444982315;55976197952;61468784363;None
predictive.lstm-50;2250;500;18302;2460;210;140265962030;56385281017;83880681013;None
jit;2250;500;23671;2464;214;116248767284;54954226933;61294540351;None
predictive.lstm-50;2000;2500;17801;2460;446;76664930178;53978586726;22686343452;None
jit;2000;2500;23528;2460;460;114376902850;54078216661;60298686188;None
predictive.lstm-50;2000;2250;18391;2511;511;79195914506;54900280190;24295634315;None
jit;2000;2250;22881;2461;461;114041907810;54703937580;59337970230;None
predictive.lstm-50;2000;2000;18984;2511;511;79242512716;54393730841;24848781875;None
jit;2000;2000;23907;2461;461;116176915104;55488707122;60688207981;None
predictive.lstm-50;2000;1750;18051;2511;511;84482372608;53640849603;30841523005;None
jit;2000;1750;22376;2461;461;113202340113;53996141903;59206198209;None
predictive.lstm-50;2000;1500;18588;2522;522;87291262045;55127586180;32163675865;None
jit;2000;1500;23794;2465;465;116221685199;55383920631;60837764568;None
predictive.lstm-50;2000;1250;19354;2563;551;97143723688;53674217062;43469506626;None
jit;2000;1250;23760;2468;468;116614700370;55721018908;60893681461;None
predictive.lstm-50;2000;1000;17325;2487;479;105379439567;53701700439;51677739128;None
jit;2000;1000;23867;2472;472;116445627337;55416063618;61029563718;None
predictive.lstm-50;2000;750;18875;2603;590;119157012315;54182424260;64974588055;None
jit;2000;750;24000;2482;482;117799690728;55780332779;62019357949;None
predictive.lstm-50;2000;500;18078;2565;551;139561135806;55123772681;84437363124;None
jit;2000;500;23568;2468;468;116046300330;54166563395;61879736935;None
predictive.lstm-50;1750;2500;16812;2460;705;77098012990;53604377171;23493635818;None
jit;1750;2500;23727;2460;710;115640260248;54852465293;60787794955;None
predictive.lstm-50;1750;2250;17264;2511;761;76458103927;53632691544;22825412382;None
jit;1750;2250;23636;2461;711;115881875502;55557180867;60324694635;None
predictive.lstm-50;1750;2000;18217;2511;761;79174795760;54621447117;24553348643;None
jit;1750;2000;23353;2461;711;115039725028;54809969762;60229755265;None
predictive.lstm-50;1750;1750;17845;2566;816;85104275174;54184924376;30919350797;None
jit;1750;1750;23774;2464;714;116357749834;55366775227;60990974607;None
predictive.lstm-50;1750;1500;19031;2591;841;87093653953;54703338581;32390315372;None
jit;1750;1500;23699;2468;718;115054754707;55153011985;59901742722;None
predictive.lstm-50;1750;1250;19616;2700;938;95615227667;54577481479;41037746187;None
jit;1750;1250;23973;2479;729;116118093604;55237725744;60880367860;None
predictive.lstm-50;1750;1000;20423;2682;924;108010581583;55092065175;52918516407;None
jit;1750;1000;23976;2485;735;116652360903;55308668729;61343692174;None
predictive.lstm-50;1750;750;48876;6193;4430;201428041469;54505041501;146922999968;None
jit;1750;750;23952;2506;756;115944681480;54520455716;61424225763;None
predictive.lstm-50;1750;500;101239;12534;10773;367791563810;56741420579;311050143230;None
jit;1750;500;23890;2501;751;116840229718;54126164905;62714064813;None
predictive.lstm-50;1500;2500;16963;2460;947;76599833608;53580481733;23019351874;None
jit;1500;2500;23801;2460;960;116463662856;55426190076;61037472780;None
predictive.lstm-50;1500;2250;18520;2511;1011;77286755862;53373335119;23913420743;None
jit;1500;2250;23597;2461;961;115963605699;55873784993;60089820706;None
predictive.lstm-50;1500;2000;17430;2511;1011;76343271407;53214856888;23128414518;None
jit;1500;2000;23688;2461;961;115957054808;55200712620;60756342188;None
predictive.lstm-50;1500;1750;18255;2566;1066;85441400615;53778349942;31663050672;None
jit;1500;1750;22922;2464;964;113787172903;53893569919;59893602984;None
predictive.lstm-50;1500;1500;20252;2680;1167;87686363182;55197512233;32488850948;None
jit;1500;1500;23867;2469;969;116010191392;55324945534;60685245858;None
predictive.lstm-50;1500;1250;20548;2785;1274;96138275673;53957577121;42180698551;None
jit;1500;1250;24057;2484;984;116287854744;55053674052;61234180692;None
predictive.lstm-50;1500;1000;24271;3301;1788;115001344273;55266660963;59734683309;None
jit;1500;1000;23997;2496;996;116231804186;55494815914;60736988271;None
predictive.lstm-50;1500;750;77620;10075;8565;259718035296;55317042714;204400992582;None
jit;1500;750;23528;2553;1053;114995170156;54434622691;60560547464;None
predictive.lstm-50;1500;500;154860;20066;18555;458559776666;57819600565;400740176100;None
jit;1500;500;24063;2518;1018;116434828210;54252557080;62182271130;None
