compilation_strategy;global;local;misses;compilations;evictions;e2e;exec;waiting;gini
predictive.lstm-50;1500;1000;22745;18321;16810;140919914463;84465285888;56454628574;None
jit;1500;1000;17209;6622;5122;152828431160;84360173135;68468258025;None
predictive.lstm-50;1500;500;100713;31448;29943;441396782515;94535187218;346861595297;None
jit;1500;500;17514;6130;4630;181574432900;91269589293;90304843607;None
predictive.lstm-50;1000;2500;23137;23122;22072;105825060466;81359744723;24465315743;None
jit;1000;2500;18957;11550;10550;153104711028;83313664070;69791046957;None
predictive.lstm-50;1000;2000;23221;23156;22105;107869252665;83248473393;24620779272;None
jit;1000;2000;19816;12153;11153;155853588254;83616700383;72236887870;None
predictive.lstm-50;1000;1500;23825;22770;21756;112536739629;82051274355;30485465273;None
jit;1000;1500;19000;11566;10566;152166405088;83633230733;68533174355;None
predictive.lstm-50;1000;1000;35521;28286;27281;157258170289;84708460627;72549709661;None
jit;1000;1000;19735;11556;10556;157797090252;84234486683;73562603569;None
predictive.lstm-50;1000;500;223355;104947;103931;601534872626;94495285455;507039587170;None
jit;1000;500;29919;15188;14188;228674454682;91620212541;137054242141;None
predictive.lstm-50;500;2500;24383;24380;23829;107729807304;81314325597;26415481707;None
jit;500;2500;22212;20175;19675;163580294482;84100657012;79479637470;None
predictive.lstm-50;500;2000;24410;24410;23859;108173522909;81626606141;26546916768;None
jit;500;2000;22115;20219;19719;163197697176;84194404326;79003292849;None
predictive.lstm-50;500;1500;25666;24797;24283;115744453282;82142466001;33601987280;None
jit;500;1500;22163;20239;19739;163585667128;84664534847;78921132281;None
predictive.lstm-50;500;1000;63358;50123;49573;194186126414;85117661992;109068464422;None
jit;500;1000;25390;22155;21655;176779492547;85143958956;91635533590;None
predictive.lstm-50;500;500;356230;138288;137784;861959644178;95164234337;766795409840;None
jit;500;500;85740;37869;37368;503455142229;94285790021;409169352208;None
predictive.lstm-50;2500;2500;4004;2460;0;87022632096;80964490751;6058141344;None
jit;2500;2500;9479;2460;0;125493741728;83375036472;42118705255;None
predictive.lstm-50;2500;2000;4062;2460;0;87301688227;80972665844;6329022382;None
jit;2500;2000;9615;2460;0;126746526126;83505195467;43241330658;None
predictive.lstm-50;2500;1500;4449;2460;0;91970602014;81976237957;9994364057;None
jit;2500;1500;9328;2460;0;125552451221;84243907443;41308543778;None
predictive.lstm-50;2500;1000;6312;2460;0;120159225252;84761269362;35397955890;None
jit;2500;1000;9723;2460;0;129535460018;84035416405;45500043613;None
predictive.lstm-50;2500;500;9070;2460;0;186021288624;93658871712;92362416912;None
jit;2500;500;9642;2460;0;156347571161;91554289213;64793281948;None
predictive.lstm-50;2000;2500;16072;11440;9420;101176263573;81377990758;19798272815;None
jit;2000;2500;14148;4669;2669;140176184735;83475993329;56700191405;None
predictive.lstm-50;2000;2000;16096;11480;9476;101372107227;81621716984;19750390243;None
jit;2000;2000;14101;4692;2692;140996296294;83684600889;57311695404;None
predictive.lstm-50;2000;1500;15671;11034;9034;106754023061;82195923265;24558099796;None
jit;2000;1500;14111;4706;2706;139206290884;83746620364;55459670520;None
predictive.lstm-50;2000;1000;11050;5740;3732;131262952029;84515106610;46747845419;None
jit;2000;1000;13678;4441;2441;144040418572;85478944899;58561473673;None
predictive.lstm-50;2000;500;10227;3124;1120;186606615363;93713099203;92893516159;None
jit;2000;500;11852;3884;1884;160044494401;91251438258;68793056142;None
predictive.lstm-50;1500;2500;16667;11605;10085;101215989791;81496840224;19719149567;None
jit;1500;2500;16100;6261;4761;148096515469;83688278134;64408237335;None
predictive.lstm-50;1500;2000;16682;11655;10105;101200878680;81483697824;19717180855;None
jit;1500;2000;16133;6288;4788;146041794007;83770837433;62270956574;None
predictive.lstm-50;1500;1500;19937;17295;15770;108841953326;81983760960;26858192366;None
jit;1500;1500;16065;6112;4612;146680572072;83874650672;62805921399;None
